['弗拉基米尔', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡莉斯塔', '魔腾', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
['弗拉基米尔', '乐芙兰', '索拉卡', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '索拉卡', '卡特琳娜', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '索拉卡', '魔腾', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '索拉卡', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '特朗德尔', '辛德拉', '魔腾', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '特朗德尔', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '辛德拉', '魔腾', '潘森', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '辛德拉', '魔腾', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '魔腾', '奈德丽', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '魔腾', '潘森', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '魔腾', '锐雯', '亚索', '卡尔玛', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1征服者1复苏者1神谕者1
['弗拉基米尔', '魔腾', '锐雯', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
['弗拉基米尔', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
['弗拉基米尔', '魔腾', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '魔腾', '莫德凯撒', '德莱文', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
['弗拉基米尔', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1征服者1复苏者1神谕者1
['沃里克', '古拉加斯', '卡兹克', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1斗士1征服者1
['薇恩', '卡兹克', '锐雯', '莫德凯撒', '黛安娜', '厄斐琉斯']:6 黑夜使者1屠龙勇士1黎明使者1刺客1游侠1征服者1
['薇恩', '卡特琳娜', '莫德凯撒', '德莱文', '黛安娜', '厄斐琉斯']:6 破败军团1黑夜使者1屠龙勇士1刺客1游侠1征服者1
['古拉加斯', '卡兹克', '索拉卡', '魔腾', '卡尔玛', '艾翁']:6 黎明使者2复生亡魂1刺客1复苏者1神谕者1
['古拉加斯', '卡兹克', '瑟提', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1斗士1征服者1
['古拉加斯', '卡兹克', '努努', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1斗士1征服者1
['蕾欧娜', '亚托克斯', '诺提勒斯', '瑟庄妮', '亚索', '芮尔']:6 黑夜使者1圣光卫士1铁甲卫士1征服者1骑士1重骑兵1
['蕾欧娜', '维鲁斯', '诺提勒斯', '瑟庄妮', '厄斐琉斯', '芮尔']:6 黑夜使者1圣光卫士1铁甲卫士1游侠1骑士1重骑兵1
['蕾欧娜', '诺提勒斯', '瑟庄妮', '莫甘娜', '拉克丝', '芮尔']:6 黑夜使者1圣光卫士1铁甲卫士1骑士1秘术师1重骑兵1
['卡兹克', '丽桑卓', '索拉卡', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['卡兹克', '克烈', '瑟庄妮', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1重骑兵1
['卡兹克', '亚托克斯', '锐雯', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者2
['卡兹克', '卡莉斯塔', '锐雯', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者2
['卡兹克', '索拉卡', '魔腾', '奈德丽', '卡尔玛', '艾翁']:6 黎明使者2复生亡魂1刺客1复苏者1神谕者1
['卡兹克', '索拉卡', '魔腾', '锐雯', '卡尔玛', '艾翁']:6 黎明使者2复生亡魂1刺客1复苏者1神谕者1
['卡兹克', '索拉卡', '亚索', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['卡兹克', '维鲁斯', '锐雯', '莫德凯撒', '黛安娜', '厄斐琉斯']:6 黑夜使者1屠龙勇士1黎明使者1刺客1游侠1征服者1
['卡兹克', '瑟庄妮', '赫卡里姆', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1重骑兵1
['卡兹克', '瑟庄妮', '锐雯', '莫德凯撒', '黛安娜', '芮尔']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1重骑兵1
['卡兹克', '辛德拉', '亚索', '卡尔玛', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1神谕者1
['卡兹克', '艾希', '锐雯', '莫德凯撒', '黛安娜', '厄斐琉斯']:6 黑夜使者1屠龙勇士1黎明使者1刺客1游侠1征服者1
['卡兹克', '莫甘娜', '锐雯', '拉克丝', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1秘术师1
['卡兹克', '莫甘娜', '锐雯', '璐璐', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1秘术师1
['卡兹克', '莫甘娜', '锐雯', '瑞兹', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1秘术师1
['卡兹克', '锐雯', '亚索', '莫德凯撒', '德莱文', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者2
['卡兹克', '亚索', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1神谕者1
['丽桑卓', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
['索拉卡', '特朗德尔', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '瑟庄妮', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '莫甘娜', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '魔腾', '李青', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '魔腾', '潘森', '卡尔玛', '黛安娜', '艾翁']:6 屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '魔腾', '锐雯', '亚索', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1征服者1复苏者1
['索拉卡', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '艾翁']:6 屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1
['索拉卡', '魔腾', '亚索', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
['索拉卡', '魔腾', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '魔腾', '卡尔玛', '黛安娜', '艾翁', '厄斐琉斯']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['索拉卡', '亚索', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1征服者1复苏者1神谕者1
['诺提勒斯', '瑟庄妮', '艾希', '塔里克', '厄斐琉斯', '芮尔']:6 黑夜使者1神佑之森1铁甲卫士1游侠1骑士1重骑兵1
['瑟庄妮', '赫卡里姆', '卡特琳娜', '莫德凯撒', '德莱文', '黛安娜']:6 破败军团1黑夜使者1屠龙勇士1刺客1征服者1重骑兵1
['辛德拉', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1神谕者1
['莫甘娜', '卡特琳娜', '瑞兹', '莫德凯撒', '德莱文', '黛安娜']:6 破败军团1黑夜使者1屠龙勇士1刺客1征服者1秘术师1
['魔腾', '锐雯', '亚索', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1征服者1神谕者1
['魔腾', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 屠龙勇士1黎明使者1复生亡魂1刺客1征服者1神谕者1
['魔腾', '亚索', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1神谕者1
