['弗拉基米尔', '沃里克', '薇恩', '古拉加斯', '索拉卡', '莫甘娜', '瑞兹', '千珏']:8 破败军团1黑夜使者1黎明使者1游侠1斗士1复苏者1秘术师2
['弗拉基米尔', '沃里克', '辛德拉', '魔腾', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '锤石', '卡特琳娜', '魔腾', '艾翁', '沃利贝尔', '德莱厄斯']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '沃里克', '锤石', '魔腾', '艾翁', '沃利贝尔', '德莱厄斯', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '沃里克', '莫甘娜', '卡特琳娜', '魔腾', '瑞兹', '艾翁', '沃利贝尔']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1复苏者1秘术师1
['弗拉基米尔', '沃里克', '莫甘娜', '魔腾', '瑞兹', '艾翁', '沃利贝尔', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1复苏者1秘术师1
['弗拉基米尔', '沃里克', '卡特琳娜', '魔腾', '亚索', '德莱文', '艾翁', '沃利贝尔']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '卡特琳娜', '魔腾', '黛安娜', '艾翁', '沃利贝尔', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂2刺客2斗士1复苏者1
['弗拉基米尔', '沃里克', '卡特琳娜', '莫德凯撒', '德莱文', '黛安娜', '艾翁', '沃利贝尔']:8 破败军团1黑夜使者1屠龙勇士1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '魔腾', '奈德丽', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '潘森', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '潘森', '黛安娜', '艾翁', '沃利贝尔', '提莫']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '锐雯', '亚索', '卡尔玛', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2斗士1征服者1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '锐雯', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '魔腾', '亚索', '德莱文', '艾翁', '沃利贝尔', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '魔腾', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '卡尔玛', '黛安娜', '艾翁', '盖伦', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '魔腾', '卡尔玛', '艾翁', '盖伦', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2斗士1复苏者1神谕者1骑士1
['弗拉基米尔', '沃里克', '魔腾', '莫德凯撒', '德莱文', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '魔腾', '莫德凯撒', '黛安娜', '艾翁', '凯尔', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '魔腾', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔', '提莫']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1斗士1征服者1复苏者1神谕者1
['弗拉基米尔', '沃里克', '莫德凯撒', '德莱文', '黛安娜', '艾翁', '沃利贝尔', '佛耶戈']:8 破败军团1黑夜使者1屠龙勇士1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '薇恩', '古拉加斯', '卡兹克', '魔腾', '艾翁', '厄斐琉斯', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1游侠1斗士1复苏者1
['弗拉基米尔', '薇恩', '古拉加斯', '莫甘娜', '卡尔玛', '艾翁', '沃利贝尔', '千珏']:8 黑夜使者1黎明使者1复生亡魂1游侠1斗士1复苏者1神谕者1秘术师1
['弗拉基米尔', '薇恩', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '薇恩', '古拉加斯', '魔腾', '卡尔玛', '艾翁', '厄斐琉斯', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2游侠1斗士1复苏者1神谕者1
['弗拉基米尔', '薇恩', '卡兹克', '索拉卡', '艾希', '莫德凯撒', '黛安娜', '凯尔']:8 黑夜使者1屠龙勇士1黎明使者1神佑之森1刺客1游侠1征服者1复苏者1
['弗拉基米尔', '薇恩', '卡兹克', '索拉卡', '莫甘娜', '卡特琳娜', '瑞兹', '千珏']:8 破败军团1黑夜使者1黎明使者1刺客1游侠1复苏者1秘术师2
['弗拉基米尔', '薇恩', '卡兹克', '索拉卡', '莫甘娜', '瑞兹', '千珏', '佛耶戈']:8 破败军团1黑夜使者1黎明使者1刺客1游侠1复苏者1秘术师2
['弗拉基米尔', '薇恩', '卡兹克', '索拉卡', '亚索', '莫德凯撒', '黛安娜', '厄斐琉斯']:8 黑夜使者2屠龙勇士1黎明使者1刺客1游侠1征服者1复苏者1
['弗拉基米尔', '薇恩', '卡兹克', '莫甘娜', '魔腾', '卡尔玛', '艾翁', '千珏']:8 黑夜使者1黎明使者1复生亡魂1刺客1游侠1复苏者1神谕者1秘术师1
['弗拉基米尔', '薇恩', '卡兹克', '魔腾', '卡尔玛', '艾翁', '厄斐琉斯', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1游侠1复苏者1神谕者1
['弗拉基米尔', '薇恩', '丽桑卓', '乐芙兰', '莫甘娜', '卡特琳娜', '瑞兹', '千珏']:8 破败军团1黑夜使者1魔女1刺客1游侠1复苏者1秘术师2
['弗拉基米尔', '薇恩', '丽桑卓', '乐芙兰', '莫甘娜', '瑞兹', '千珏', '佛耶戈']:8 破败军团1黑夜使者1魔女1刺客1游侠1复苏者1秘术师2
['弗拉基米尔', '薇恩', '索拉卡', '锤石', '莫甘娜', '瑞兹', '盖伦', '千珏']:8 破败军团1黑夜使者1黎明使者1游侠1复苏者1骑士1秘术师2
['弗拉基米尔', '薇恩', '索拉卡', '莫甘娜', '锐雯', '瑞兹', '德莱文', '千珏']:8 破败军团1黑夜使者1黎明使者1游侠1征服者1复苏者1秘术师2
['弗拉基米尔', '薇恩', '艾希', '魔腾', '莫德凯撒', '黛安娜', '艾翁', '凯尔']:8 黑夜使者1屠龙勇士1神佑之森1复生亡魂1刺客1游侠1征服者1复苏者1
['弗拉基米尔', '薇恩', '莫甘娜', '卡特琳娜', '魔腾', '瑞兹', '艾翁', '千珏']:8 破败军团1黑夜使者1复生亡魂1刺客1游侠1复苏者1秘术师2
['弗拉基米尔', '薇恩', '莫甘娜', '魔腾', '瑞兹', '艾翁', '千珏', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂1刺客1游侠1复苏者1秘术师2
['弗拉基米尔', '薇恩', '魔腾', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1神谕者1
['弗拉基米尔', '薇恩', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁', '厄斐琉斯']:8 黑夜使者2屠龙勇士1复生亡魂1刺客1游侠1征服者1复苏者1
['弗拉基米尔', '波比', '古拉加斯', '卡兹克', '魔腾', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '波比', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '波比', '古拉加斯', '魔腾', '卡尔玛', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2斗士1复苏者1神谕者1骑士1
['弗拉基米尔', '波比', '古拉加斯', '魔腾', '黛安娜', '艾翁', '盖伦', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '波比', '卡兹克', '索拉卡', '锐雯', '莫德凯撒', '黛安娜', '盖伦']:8 黑夜使者1屠龙勇士1黎明使者2刺客1征服者1复苏者1骑士1
['弗拉基米尔', '波比', '卡兹克', '索拉卡', '亚索', '莫德凯撒', '黛安娜', '德莱厄斯']:8 黑夜使者2屠龙勇士1黎明使者1刺客1征服者1复苏者1骑士1
['弗拉基米尔', '波比', '卡兹克', '索拉卡', '塔里克', '莫德凯撒', '黛安娜', '凯尔']:8 黑夜使者1屠龙勇士1黎明使者1神佑之森1刺客1征服者1复苏者1骑士1
['弗拉基米尔', '波比', '卡兹克', '魔腾', '卡尔玛', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2刺客1复苏者1神谕者1骑士1
['弗拉基米尔', '波比', '克烈', '诺提勒斯', '瑟庄妮', '艾翁', '芮尔', '提莫']:8 黑夜使者1小恶魔1铁甲卫士1复苏者1神谕者1骑士1重骑兵2
['弗拉基米尔', '波比', '特朗德尔', '魔腾', '卡尔玛', '黛安娜', '艾翁', '盖伦']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1骑士1
['弗拉基米尔', '波比', '魔腾', '潘森', '卡尔玛', '黛安娜', '艾翁', '盖伦']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1骑士1
['弗拉基米尔', '波比', '魔腾', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1神谕者1
['弗拉基米尔', '波比', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '艾翁', '盖伦']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1骑士1
['弗拉基米尔', '波比', '魔腾', '亚索', '莫德凯撒', '黛安娜', '艾翁', '德莱厄斯']:8 黑夜使者2屠龙勇士1复生亡魂1刺客1征服者1复苏者1骑士1
['弗拉基米尔', '波比', '魔腾', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁', '盖伦']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1骑士1
['弗拉基米尔', '波比', '魔腾', '卡尔玛', '黛安娜', '艾翁', '盖伦', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1复苏者1神谕者1骑士1
['弗拉基米尔', '波比', '魔腾', '塔里克', '莫德凯撒', '黛安娜', '艾翁', '凯尔']:8 黑夜使者1屠龙勇士1神佑之森1复生亡魂1刺客1征服者1复苏者1骑士1
['弗拉基米尔', '乌迪尔', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '乌迪尔', '特朗德尔', '魔腾', '奈德丽', '卡尔玛', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1神盾战士1
['弗拉基米尔', '乌迪尔', '魔腾', '奈德丽', '潘森', '卡尔玛', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1神盾战士1
['弗拉基米尔', '乌迪尔', '魔腾', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '蕾欧娜', '卡兹克', '魔腾', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '古拉加斯', '蕾欧娜', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '蕾欧娜', '魔腾', '卡尔玛', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2斗士1复苏者1神谕者1骑士1
['弗拉基米尔', '古拉加斯', '蕾欧娜', '魔腾', '黛安娜', '艾翁', '盖伦', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '古拉加斯', '吉格斯', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '克烈', '瑟庄妮', '魔腾', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1重骑兵1
['弗拉基米尔', '古拉加斯', '卡兹克', '亚托克斯', '魔腾', '亚索', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '亚托克斯', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '卡莉斯塔', '魔腾', '亚索', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '卡莉斯塔', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '乐芙兰', '魔腾', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客2斗士1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '瑟提', '锐雯', '莫德凯撒', '黛安娜']:8 黑夜使者1屠龙勇士1黎明使者2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '努努', '锐雯', '莫德凯撒', '黛安娜']:8 黑夜使者1屠龙勇士1黎明使者2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '魔腾', '锐雯', '亚索', '沃利贝尔']:8 黑夜使者1黎明使者2复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:8 黎明使者2复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '魔腾', '盖伦', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者2复生亡魂1刺客1斗士1复苏者1骑士1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '锐雯', '莫德凯撒', '黛安娜', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '索拉卡', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者2复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '特朗德尔', '辛德拉', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '特朗德尔', '魔腾', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂2刺客1斗士1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '特朗德尔', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '特朗德尔', '黛安娜', '艾翁', '沃利贝尔', '提莫']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '维鲁斯', '魔腾', '艾翁', '厄斐琉斯', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1游侠1斗士1复苏者1
['弗拉基米尔', '古拉加斯', '卡兹克', '诺提勒斯', '魔腾', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '古拉加斯', '卡兹克', '瑟庄妮', '赫卡里姆', '魔腾', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1重骑兵1
['弗拉基米尔', '古拉加斯', '卡兹克', '瑟庄妮', '辛德拉', '魔腾', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '瑟庄妮', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '瑟庄妮', '魔腾', '艾翁', '芮尔', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1重骑兵1
['弗拉基米尔', '古拉加斯', '卡兹克', '瑟庄妮', '魔腾', '艾翁', '沃利贝尔', '提莫']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '辛德拉', '莫甘娜', '魔腾', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '辛德拉', '魔腾', '李青', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '辛德拉', '魔腾', '亚索', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '辛德拉', '魔腾', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡兹克', '辛德拉', '魔腾', '艾翁', '厄斐琉斯', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
