['弗拉基米尔', '沃里克', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁']:7 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '辛德拉', '锐雯', '亚索', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1征服者1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '辛德拉', '艾翁', '盖伦', '沃利贝尔', '德莱厄斯']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1骑士1
['弗拉基米尔', '古拉加斯', '锤石', '卡尔玛', '艾翁', '沃利贝尔', '德莱厄斯']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1骑士1
['弗拉基米尔', '古拉加斯', '瑟提', '魔腾', '卡尔玛', '黛安娜', '艾翁']:7 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '努努', '魔腾', '卡尔玛', '黛安娜', '艾翁']:7 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '艾希', '卡尔玛', '艾翁', '厄斐琉斯', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1游侠1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '莫甘娜', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '莫甘娜', '拉克丝', '卡尔玛', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1秘术师1
['弗拉基米尔', '古拉加斯', '莫甘娜', '璐璐', '卡尔玛', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1秘术师1
['弗拉基米尔', '古拉加斯', '莫甘娜', '瑞兹', '卡尔玛', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1秘术师1
['弗拉基米尔', '古拉加斯', '莫甘娜', '卡尔玛', '艾翁', '沃利贝尔', '千珏']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1秘术师1
['弗拉基米尔', '古拉加斯', '卡特琳娜', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:7 黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '卡特琳娜', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '魔腾', '李青', '卡尔玛', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '魔腾', '奈德丽', '黛安娜', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1
['弗拉基米尔', '古拉加斯', '魔腾', '潘森', '卡尔玛', '黛安娜', '艾翁']:7 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '魔腾', '潘森', '黛安娜', '艾翁', '沃利贝尔']:7 黑夜使者1屠龙勇士1复生亡魂1刺客1斗士1复苏者1
['弗拉基米尔', '古拉加斯', '魔腾', '锐雯', '亚索', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '艾翁']:7 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1
['弗拉基米尔', '古拉加斯', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '沃利贝尔']:7 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1征服者1
['弗拉基米尔', '古拉加斯', '魔腾', '锐雯', '黛安娜', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1
['弗拉基米尔', '古拉加斯', '魔腾', '亚索', '卡尔玛', '艾翁', '沃利贝尔']:7 黑夜使者1黎明使者1复生亡魂1斗士1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '魔腾', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:7 黑夜使者1屠龙勇士1黎明使者1复生亡魂2刺客1复苏者1神谕者1
['弗拉基米尔', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '魔腾', '锐雯', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1神谕者1
['古拉加斯', '卡兹克', '索拉卡', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:8 黎明使者2复生亡魂1刺客1斗士1复苏者1神谕者1
['索拉卡', '魔腾', '亚索', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1征服者1复苏者1神谕者1
